Version,Engine,Section,Name,Mean,Deviation,MOE,RME,SEM
1.9.36,V8,identity,[x 1] (identity x),1.38e-06,,,,
1.9.36,V8,symbol construction,[] (symbol (quote foo)),5.6e-05,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll + 0),0.21,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll sum 0),0.2,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll arr] (array-reduce coll + 0),0.15,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll arr] (array-reduce coll sum 0),0.1,,,,
1.9.36,V8,instance?,[coll []] (instance? PersistentVector coll),5.1e-05,,,,
1.9.36,V8,satisfies?,[coll (list 1 2 3)] (satisfies? ISeq coll),4.9e-05,,,,
1.9.36,V8,satisfies?,[coll [1 2 3]] (satisfies? ISeq coll),4.1e-05,,,,
1.9.36,V8,array & string ops,[coll (array 1 2 3)] (seq coll),7.2e-05,,,,
1.9.36,V8,array & string ops,"[coll ""foobar""] (seq coll)",0.000126,,,,
1.9.36,V8,array & string ops,[coll (array 1 2 3)] (first coll),7.7e-05,,,,
1.9.36,V8,array & string ops,"[coll ""foobar""] (first coll)",0.000171,,,,
1.9.36,V8,array & string ops,[coll (array 1 2 3)] (nth coll 2),7e-05,,,,
1.9.36,V8,array & string ops,"[coll ""foobar""] (nth coll 2)",8.1e-05,,,,
1.9.36,V8,cloning & specify,[coll [1 2 3]] (clone coll),7e-05,,,,
1.9.36,V8,cloning & specify,[coll [1 2 3]] (specify coll IFoo (foo [_] :bar)),0.000102,,,,
1.9.36,V8,cloning & specify,[coll (specify [1 2 3] IFoo (foo [_] :bar))] (foo coll),6e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (first coll),6.8e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (-first coll),5.2e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (rest coll),5.4e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (-rest coll),5.1e-05,,,,
1.9.36,V8,list ops,[] (list),4.4e-05,,,,
1.9.36,V8,list ops,[] (list 1 2 3),9.3e-05,,,,
1.9.36,V8,vector ops,[] [],4.6e-05,,,,
1.9.36,V8,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count [a b c]),9.8e-05,,,,
1.9.36,V8,vector ops,"[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vec #object[cljs.tagged_literals.JSValue 0xb009d06 ""cljs.tagged_literals.JSValue@b009d06""]))",8.4e-05,,,,
1.9.36,V8,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vector a b c)),0.000101,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (transient coll),0.00021,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (nth coll 0),6.3e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (-nth coll 0),6e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (-nth coll 0),5.8e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (coll 0),5.7e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (conj coll 4),9.3e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (-conj coll 4),9e-05,,,,
1.9.36,V8,vector ops,[coll []] (-conj coll 1),8.9e-05,,,,
1.9.36,V8,vector ops,[coll [1]] (-conj coll 2),8.4e-05,,,,
1.9.36,V8,vector ops,[coll [1 2]] (-conj coll 3),8.7e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (seq coll),8.6e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (-seq coll),6.9e-05,,,,
1.9.36,V8,vector ops,[coll (seq [1 2 3])] (first coll),8.3e-05,,,,
1.9.36,V8,vector ops,[coll (seq [1 2 3])] (-first coll),6.3e-05,,,,
1.9.36,V8,vector ops,[coll (seq [1 2 3])] (rest coll),6.8e-05,,,,
1.9.36,V8,vector ops,[coll (seq [1 2 3])] (-rest coll),7e-05,,,,
1.9.36,V8,vector ops,[coll (seq [1 2 3])] (next coll),7.4e-05,,,,
1.9.36,V8,large vector ops,[] (reduce conj [] (range 40000)),6.5,,,,
1.9.36,V8,large vector ops,[coll (reduce conj [] (range (+ 32768 32)))] (conj coll :foo),0.00027,,,,
1.9.36,V8,large vector ops,[coll (reduce conj [] (range 40000))] (assoc coll 123 :foo),0.00072,,,,
1.9.36,V8,large vector ops,[coll (reduce conj [] (range (+ 32768 33)))] (pop coll),0.00024,,,,
1.9.36,SM,identity,[x 1] (identity x),3.88e-06,,,,
1.9.36,SM,symbol construction,[] (symbol (quote foo)),4.4e-05,,,,
1.9.36,SM,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll + 0),0.07,,,,
1.9.36,SM,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll sum 0),0.17,,,,
1.9.36,SM,array-reduce & ci-reduce,[coll arr] (array-reduce coll + 0),0.02,,,,
1.9.36,SM,array-reduce & ci-reduce,[coll arr] (array-reduce coll sum 0),0.11,,,,
1.9.36,SM,instance?,[coll []] (instance? PersistentVector coll),2.4e-05,,,,
1.9.36,SM,satisfies?,[coll (list 1 2 3)] (satisfies? ISeq coll),4e-05,,,,
1.9.36,SM,satisfies?,[coll [1 2 3]] (satisfies? ISeq coll),3.8e-05,,,,
1.9.36,SM,array & string ops,[coll (array 1 2 3)] (seq coll),5.8e-05,,,,
1.9.36,SM,array & string ops,"[coll ""foobar""] (seq coll)",0.000399,,,,
1.9.36,SM,array & string ops,[coll (array 1 2 3)] (first coll),6e-05,,,,
1.9.36,SM,array & string ops,"[coll ""foobar""] (first coll)",0.001681,,,,
1.9.36,SM,array & string ops,[coll (array 1 2 3)] (nth coll 2),3.4e-05,,,,
1.9.36,SM,array & string ops,"[coll ""foobar""] (nth coll 2)",0.000395,,,,
1.9.36,SM,cloning & specify,[coll [1 2 3]] (clone coll),4.1e-05,,,,
1.9.36,SM,cloning & specify,[coll [1 2 3]] (specify coll IFoo (foo [_] :bar)),0.000226,,,,
1.9.36,SM,cloning & specify,[coll (specify [1 2 3] IFoo (foo [_] :bar))] (foo coll),3e-05,,,,
1.9.36,SM,list ops,[coll (list 1 2 3)] (first coll),4.8e-05,,,,
1.9.36,SM,list ops,[coll (list 1 2 3)] (-first coll),3.1e-05,,,,
1.9.36,SM,list ops,[coll (list 1 2 3)] (rest coll),3.2e-05,,,,
1.9.36,SM,list ops,[coll (list 1 2 3)] (-rest coll),2.9e-05,,,,
1.9.36,SM,list ops,[] (list),1.5e-05,,,,
1.9.36,SM,list ops,[] (list 1 2 3),9.6e-05,,,,
1.9.36,SM,vector ops,[] [],1.8e-05,,,,
1.9.36,SM,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count [a b c]),0.000177,,,,
1.9.36,SM,vector ops,"[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vec #object[cljs.tagged_literals.JSValue 0xb009d06 ""cljs.tagged_literals.JSValue@b009d06""]))",0.00016,,,,
1.9.36,SM,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vector a b c)),0.000155,,,,
1.9.36,SM,vector ops,[coll [1 2 3]] (transient coll),0.00039,,,,
1.9.36,SM,vector ops,[coll [1 2 3]] (nth coll 0),5.4e-05,,,,
1.9.36,SM,vector ops,[coll [1 2 3]] (-nth coll 0),4.6e-05,,,,
1.9.36,SM,vector ops,[coll [1 2 3]] (-nth coll 0),4.2e-05,,,,
1.9.36,SM,vector ops,[coll [1 2 3]] (coll 0),4.6e-05,,,,
1.9.36,SM,vector ops,[coll [1 2 3]] (conj coll 4),6.9e-05,,,,
1.9.36,SM,vector ops,[coll [1 2 3]] (-conj coll 4),6.6e-05,,,,
1.9.36,SM,vector ops,[coll []] (-conj coll 1),6.3e-05,,,,
1.9.36,SM,vector ops,[coll [1]] (-conj coll 2),6.2e-05,,,,
1.9.36,SM,vector ops,[coll [1 2]] (-conj coll 3),6.8e-05,,,,
1.9.36,SM,vector ops,[coll [1 2 3]] (seq coll),6.7e-05,,,,
1.9.36,SM,vector ops,[coll [1 2 3]] (-seq coll),4.1e-05,,,,
1.9.36,SM,vector ops,[coll (seq [1 2 3])] (first coll),4.9e-05,,,,
1.9.36,SM,vector ops,[coll (seq [1 2 3])] (-first coll),3.6e-05,,,,
1.9.36,SM,vector ops,[coll (seq [1 2 3])] (rest coll),4.6e-05,,,,
1.9.36,SM,vector ops,[coll (seq [1 2 3])] (-rest coll),4.6e-05,,,,
1.9.36,SM,vector ops,[coll (seq [1 2 3])] (next coll),4.8e-05,,,,
1.9.36,SM,large vector ops,[] (reduce conj [] (range 40000)),7.8,,,,
1.9.36,SM,large vector ops,[coll (reduce conj [] (range (+ 32768 32)))] (conj coll :foo),0.00038,,,,
1.9.36,SM,large vector ops,[coll (reduce conj [] (range 40000))] (assoc coll 123 :foo),0.00115,,,,
1.9.36,SM,large vector ops,[coll (reduce conj [] (range (+ 32768 33)))] (pop coll),0.00042,,,,
1.9.36,JSC,identity,[x 1] (identity x),2.15e-06,,,,
1.9.36,JSC,symbol construction,[] (symbol (quote foo)),2.2e-05,,,,
1.9.36,JSC,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll + 0),0.18,,,,
1.9.36,JSC,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll sum 0),0.12,,,,
1.9.36,JSC,array-reduce & ci-reduce,[coll arr] (array-reduce coll + 0),0.04,,,,
1.9.36,JSC,array-reduce & ci-reduce,[coll arr] (array-reduce coll sum 0),0.06,,,,
1.9.36,JSC,instance?,[coll []] (instance? PersistentVector coll),2.5e-05,,,,
1.9.36,JSC,satisfies?,[coll (list 1 2 3)] (satisfies? ISeq coll),1.9e-05,,,,
1.9.36,JSC,satisfies?,[coll [1 2 3]] (satisfies? ISeq coll),2.6e-05,,,,
1.9.36,JSC,array & string ops,[coll (array 1 2 3)] (seq coll),6e-05,,,,
1.9.36,JSC,array & string ops,"[coll ""foobar""] (seq coll)",3.6e-05,,,,
1.9.36,JSC,array & string ops,[coll (array 1 2 3)] (first coll),5.7e-05,,,,
1.9.36,JSC,array & string ops,"[coll ""foobar""] (first coll)",7.6e-05,,,,
1.9.36,JSC,array & string ops,[coll (array 1 2 3)] (nth coll 2),2.5e-05,,,,
1.9.36,JSC,array & string ops,"[coll ""foobar""] (nth coll 2)",2.8e-05,,,,
1.9.36,JSC,cloning & specify,[coll [1 2 3]] (clone coll),4.9e-05,,,,
1.9.36,JSC,cloning & specify,[coll [1 2 3]] (specify coll IFoo (foo [_] :bar)),8.9e-05,,,,
1.9.36,JSC,cloning & specify,[coll (specify [1 2 3] IFoo (foo [_] :bar))] (foo coll),2e-05,,,,
1.9.36,JSC,list ops,[coll (list 1 2 3)] (first coll),2.7e-05,,,,
1.9.36,JSC,list ops,[coll (list 1 2 3)] (-first coll),2e-05,,,,
1.9.36,JSC,list ops,[coll (list 1 2 3)] (rest coll),2.1e-05,,,,
1.9.36,JSC,list ops,[coll (list 1 2 3)] (-rest coll),1.7e-05,,,,
1.9.36,JSC,list ops,[] (list),1.5e-05,,,,
1.9.36,JSC,list ops,[] (list 1 2 3),7.1e-05,,,,
1.9.36,JSC,vector ops,[] [],1.2e-05,,,,
1.9.36,JSC,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count [a b c]),8.5e-05,,,,
1.9.36,JSC,vector ops,"[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vec #object[cljs.tagged_literals.JSValue 0xb009d06 ""cljs.tagged_literals.JSValue@b009d06""]))",7.4e-05,,,,
1.9.36,JSC,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vector a b c)),7.4e-05,,,,
1.9.36,JSC,vector ops,[coll [1 2 3]] (transient coll),0.00028,,,,
1.9.36,JSC,vector ops,[coll [1 2 3]] (nth coll 0),2.5e-05,,,,
1.9.36,JSC,vector ops,[coll [1 2 3]] (-nth coll 0),2.3e-05,,,,
1.9.36,JSC,vector ops,[coll [1 2 3]] (-nth coll 0),2.2e-05,,,,
1.9.36,JSC,vector ops,[coll [1 2 3]] (coll 0),3e-05,,,,
1.9.36,JSC,vector ops,[coll [1 2 3]] (conj coll 4),6.4e-05,,,,
1.9.36,JSC,vector ops,[coll [1 2 3]] (-conj coll 4),5.5e-05,,,,
1.9.36,JSC,vector ops,[coll []] (-conj coll 1),5.5e-05,,,,
1.9.36,JSC,vector ops,[coll [1]] (-conj coll 2),5.9e-05,,,,
1.9.36,JSC,vector ops,[coll [1 2]] (-conj coll 3),5.2e-05,,,,
1.9.36,JSC,vector ops,[coll [1 2 3]] (seq coll),3.7e-05,,,,
1.9.36,JSC,vector ops,[coll [1 2 3]] (-seq coll),3.5e-05,,,,
1.9.36,JSC,vector ops,[coll (seq [1 2 3])] (first coll),3.1e-05,,,,
1.9.36,JSC,vector ops,[coll (seq [1 2 3])] (-first coll),2.9e-05,,,,
1.9.36,JSC,vector ops,[coll (seq [1 2 3])] (rest coll),3.3e-05,,,,
1.9.36,JSC,vector ops,[coll (seq [1 2 3])] (-rest coll),3.3e-05,,,,
1.9.36,JSC,vector ops,[coll (seq [1 2 3])] (next coll),3.4e-05,,,,
1.9.36,JSC,large vector ops,[] (reduce conj [] (range 40000)),5.3,,,,
1.9.36,JSC,large vector ops,[coll (reduce conj [] (range (+ 32768 32)))] (conj coll :foo),0.00034,,,,
1.9.36,JSC,large vector ops,[coll (reduce conj [] (range 40000))] (assoc coll 123 :foo),0.00055,,,,
1.9.36,JSC,large vector ops,[coll (reduce conj [] (range (+ 32768 33)))] (pop coll),0.00021,,,,
1.9.35,V8,identity,[x 1] (identity x),1.23e-06,,,,
1.9.35,V8,symbol construction,[] (symbol (quote foo)),5.5e-05,,,,
1.9.35,V8,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll + 0),0.24,,,,
1.9.35,V8,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll sum 0),0.21,,,,
1.9.35,V8,array-reduce & ci-reduce,[coll arr] (array-reduce coll + 0),0.12,,,,
1.9.35,V8,array-reduce & ci-reduce,[coll arr] (array-reduce coll sum 0),0.09,,,,
1.9.35,V8,instance?,[coll []] (instance? PersistentVector coll),5.3e-05,,,,
1.9.35,V8,satisfies?,[coll (list 1 2 3)] (satisfies? ISeq coll),4.2e-05,,,,
1.9.35,V8,satisfies?,[coll [1 2 3]] (satisfies? ISeq coll),4.3e-05,,,,
1.9.35,V8,array & string ops,[coll (array 1 2 3)] (seq coll),6.8e-05,,,,
1.9.35,V8,array & string ops,"[coll ""foobar""] (seq coll)",0.000125,,,,
1.9.35,V8,array & string ops,[coll (array 1 2 3)] (first coll),7.6e-05,,,,
1.9.35,V8,array & string ops,"[coll ""foobar""] (first coll)",0.000146,,,,
1.9.35,V8,array & string ops,[coll (array 1 2 3)] (nth coll 2),7e-05,,,,
1.9.35,V8,array & string ops,"[coll ""foobar""] (nth coll 2)",6e-05,,,,
1.9.35,V8,cloning & specify,[coll [1 2 3]] (clone coll),6.3e-05,,,,
1.9.35,V8,cloning & specify,[coll [1 2 3]] (specify coll IFoo (foo [_] :bar)),0.000101,,,,
1.9.35,V8,cloning & specify,[coll (specify [1 2 3] IFoo (foo [_] :bar))] (foo coll),6.3e-05,,,,
1.9.35,V8,list ops,[coll (list 1 2 3)] (first coll),6.6e-05,,,,
1.9.35,V8,list ops,[coll (list 1 2 3)] (-first coll),5.2e-05,,,,
1.9.35,V8,list ops,[coll (list 1 2 3)] (rest coll),5.1e-05,,,,
1.9.35,V8,list ops,[coll (list 1 2 3)] (-rest coll),5.1e-05,,,,
1.9.35,V8,list ops,[] (list),4.4e-05,,,,
1.9.35,V8,list ops,[] (list 1 2 3),9.1e-05,,,,
1.9.35,V8,vector ops,[] [],4.9e-05,,,,
1.9.35,V8,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count [a b c]),9.3e-05,,,,
1.9.35,V8,vector ops,"[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vec #object[cljs.tagged_literals.JSValue 0x193b2a57 ""cljs.tagged_literals.JSValue@193b2a57""]))",8.2e-05,,,,
1.9.35,V8,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vector a b c)),9.9e-05,,,,
1.9.35,V8,vector ops,[coll [1 2 3]] (transient coll),0.00022,,,,
1.9.35,V8,vector ops,[coll [1 2 3]] (nth coll 0),6.1e-05,,,,
1.9.35,V8,vector ops,[coll [1 2 3]] (-nth coll 0),5.8e-05,,,,
1.9.35,V8,vector ops,[coll [1 2 3]] (-nth coll 0),5.8e-05,,,,
1.9.35,V8,vector ops,[coll [1 2 3]] (coll 0),5.6e-05,,,,
1.9.35,V8,vector ops,[coll [1 2 3]] (conj coll 4),9.2e-05,,,,
1.9.35,V8,vector ops,[coll [1 2 3]] (-conj coll 4),8.7e-05,,,,
1.9.35,V8,vector ops,[coll []] (-conj coll 1),8.3e-05,,,,
1.9.35,V8,vector ops,[coll [1]] (-conj coll 2),8.2e-05,,,,
1.9.35,V8,vector ops,[coll [1 2]] (-conj coll 3),8.4e-05,,,,
1.9.35,V8,vector ops,[coll [1 2 3]] (seq coll),8.4e-05,,,,
1.9.35,V8,vector ops,[coll [1 2 3]] (-seq coll),6.7e-05,,,,
1.9.35,V8,vector ops,[coll (seq [1 2 3])] (first coll),8.1e-05,,,,
1.9.35,V8,vector ops,[coll (seq [1 2 3])] (-first coll),6.4e-05,,,,
1.9.35,V8,vector ops,[coll (seq [1 2 3])] (rest coll),6.8e-05,,,,
1.9.35,V8,vector ops,[coll (seq [1 2 3])] (-rest coll),6.8e-05,,,,
1.9.35,V8,vector ops,[coll (seq [1 2 3])] (next coll),7.2e-05,,,,
1.9.35,V8,large vector ops,[] (reduce conj [] (range 40000)),6.8,,,,
1.9.35,V8,large vector ops,[coll (reduce conj [] (range (+ 32768 32)))] (conj coll :foo),0.00027,,,,
1.9.35,V8,large vector ops,[coll (reduce conj [] (range 40000))] (assoc coll 123 :foo),0.00067,,,,
1.9.35,V8,large vector ops,[coll (reduce conj [] (range (+ 32768 33)))] (pop coll),0.00023,,,,
1.9.35,SM,identity,[x 1] (identity x),3.93e-06,,,,
1.9.35,SM,symbol construction,[] (symbol (quote foo)),4.3e-05,,,,
1.9.35,SM,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll + 0),0.07,,,,
1.9.35,SM,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll sum 0),0.18,,,,
1.9.35,SM,array-reduce & ci-reduce,[coll arr] (array-reduce coll + 0),0.02,,,,
1.9.35,SM,array-reduce & ci-reduce,[coll arr] (array-reduce coll sum 0),0.1,,,,
1.9.35,SM,instance?,[coll []] (instance? PersistentVector coll),2.9e-05,,,,
1.9.35,SM,satisfies?,[coll (list 1 2 3)] (satisfies? ISeq coll),4.1e-05,,,,
1.9.35,SM,satisfies?,[coll [1 2 3]] (satisfies? ISeq coll),4.1e-05,,,,
1.9.35,SM,array & string ops,[coll (array 1 2 3)] (seq coll),6.1e-05,,,,
1.9.35,SM,array & string ops,"[coll ""foobar""] (seq coll)",0.000385,,,,
1.9.35,SM,array & string ops,[coll (array 1 2 3)] (first coll),5.8e-05,,,,
1.9.35,SM,array & string ops,"[coll ""foobar""] (first coll)",0.001589,,,,
1.9.35,SM,array & string ops,[coll (array 1 2 3)] (nth coll 2),3.4e-05,,,,
1.9.35,SM,array & string ops,"[coll ""foobar""] (nth coll 2)",0.000352,,,,
1.9.35,SM,cloning & specify,[coll [1 2 3]] (clone coll),4.1e-05,,,,
1.9.35,SM,cloning & specify,[coll [1 2 3]] (specify coll IFoo (foo [_] :bar)),0.000238,,,,
1.9.35,SM,cloning & specify,[coll (specify [1 2 3] IFoo (foo [_] :bar))] (foo coll),3.4e-05,,,,
1.9.35,SM,list ops,[coll (list 1 2 3)] (first coll),4.5e-05,,,,
1.9.35,SM,list ops,[coll (list 1 2 3)] (-first coll),3e-05,,,,
1.9.35,SM,list ops,[coll (list 1 2 3)] (rest coll),3.3e-05,,,,
1.9.35,SM,list ops,[coll (list 1 2 3)] (-rest coll),3e-05,,,,
1.9.35,SM,list ops,[] (list),1.6e-05,,,,
1.9.35,SM,list ops,[] (list 1 2 3),0.000101,,,,
1.9.35,SM,vector ops,[] [],1.5e-05,,,,
1.9.35,SM,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count [a b c]),0.000187,,,,
1.9.35,SM,vector ops,"[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vec #object[cljs.tagged_literals.JSValue 0x193b2a57 ""cljs.tagged_literals.JSValue@193b2a57""]))",0.000165,,,,
1.9.35,SM,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vector a b c)),0.000163,,,,
1.9.35,SM,vector ops,[coll [1 2 3]] (transient coll),0.00042,,,,
1.9.35,SM,vector ops,[coll [1 2 3]] (nth coll 0),5.2e-05,,,,
1.9.35,SM,vector ops,[coll [1 2 3]] (-nth coll 0),4.3e-05,,,,
1.9.35,SM,vector ops,[coll [1 2 3]] (-nth coll 0),4.3e-05,,,,
1.9.35,SM,vector ops,[coll [1 2 3]] (coll 0),4.3e-05,,,,
1.9.35,SM,vector ops,[coll [1 2 3]] (conj coll 4),6.9e-05,,,,
1.9.35,SM,vector ops,[coll [1 2 3]] (-conj coll 4),6.9e-05,,,,
1.9.35,SM,vector ops,[coll []] (-conj coll 1),6.3e-05,,,,
1.9.35,SM,vector ops,[coll [1]] (-conj coll 2),6.5e-05,,,,
1.9.35,SM,vector ops,[coll [1 2]] (-conj coll 3),6.7e-05,,,,
1.9.35,SM,vector ops,[coll [1 2 3]] (seq coll),6.8e-05,,,,
1.9.35,SM,vector ops,[coll [1 2 3]] (-seq coll),4e-05,,,,
1.9.35,SM,vector ops,[coll (seq [1 2 3])] (first coll),4.9e-05,,,,
1.9.35,SM,vector ops,[coll (seq [1 2 3])] (-first coll),3.6e-05,,,,
1.9.35,SM,vector ops,[coll (seq [1 2 3])] (rest coll),4.7e-05,,,,
1.9.35,SM,vector ops,[coll (seq [1 2 3])] (-rest coll),4.3e-05,,,,
1.9.35,SM,vector ops,[coll (seq [1 2 3])] (next coll),5.1e-05,,,,
1.9.35,SM,large vector ops,[] (reduce conj [] (range 40000)),7.9,,,,
1.9.35,SM,large vector ops,[coll (reduce conj [] (range (+ 32768 32)))] (conj coll :foo),0.00035,,,,
1.9.35,SM,large vector ops,[coll (reduce conj [] (range 40000))] (assoc coll 123 :foo),0.00111,,,,
1.9.35,SM,large vector ops,[coll (reduce conj [] (range (+ 32768 33)))] (pop coll),0.00042,,,,
1.9.35,JSC,identity,[x 1] (identity x),2.15e-06,,,,
1.9.35,JSC,symbol construction,[] (symbol (quote foo)),2.2e-05,,,,
1.9.35,JSC,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll + 0),0.18,,,,
1.9.35,JSC,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll sum 0),0.15,,,,
1.9.35,JSC,array-reduce & ci-reduce,[coll arr] (array-reduce coll + 0),0.04,,,,
