Version,Engine,Name,Mean,Deviation,MOE,RME,SEM
1.9.36,V8,[x 1] (identity x),1.0354196014098944e-08,6.138897671238325e-10,1.5159196791358815e-10,1.4640631460634,7.734284077223885e-11
1.9.36,V8,[] (symbol (quote foo)),2.7398179289291595e-08,3.1183404551760007e-09,7.762180823208805e-10,2.8331009667648255,3.9602963383718393e-10
1.9.36,V8,[coll (seq arr)] (ci-reduce coll + 0),0.00011705879623184374,2.8947768093229295e-06,6.983918912834316e-07,0.5966163276617111,3.563223935119549e-07
1.9.36,V8,[coll (seq arr)] (ci-reduce coll sum 0),0.00018584743521946057,4.2466134799089235e-06,1.5574625937593323e-06,0.8380328692296348,7.627142966500158e-07
1.9.36,V8,[coll arr] (array-reduce coll + 0),1.4328474339372198e-05,3.72157995442867e-07,9.04746156524154e-08,0.631432304022813,4.616051819000786e-08
1.9.36,V8,[coll arr] (array-reduce coll sum 0),8.593120128997579e-05,2.27938046197707e-06,5.720157345618324e-07,0.6656670987660919,2.918447625315471e-07
1.9.36,SM,[x 1] (identity x),8.831698567585617e-10,2.271316168192059e-11,5.521753122561648e-12,0.6252198351546737,2.8172209808988e-12
1.9.36,SM,[] (symbol (quote foo)),1.3013203241144197e-09,2.4905885556050165e-10,6.465775654868081e-11,4.968627274201838,3.298865130034735e-11
1.9.36,SM,[coll (seq arr)] (ci-reduce coll + 0),5.337313183601905e-05,3.3188271989325846e-06,8.468660175746397e-07,1.5866897602646004,4.320744987625713e-07
1.9.36,SM,[coll (seq arr)] (ci-reduce coll sum 0),0.00010402603664416587,2.229306105765131e-06,6.118439764565706e-07,0.5881642675183905,3.1216529411049523e-07
1.9.36,SM,[coll arr] (array-reduce coll + 0),1.1667314217300534e-05,3.240634202258847e-07,7.878243582286592e-08,0.6752405425581639,4.019512031778874e-08
1.9.36,SM,[coll arr] (array-reduce coll sum 0),8.679986338797813e-05,1.7298787126157631e-06,4.377197077347457e-07,0.5042861712560832,2.2332638149731923e-07
1.9.36,JSC,[x 1] (identity x),8.748012164797854e-10,2.1232044195851364e-11,5.084057802233126e-12,0.5811672076419211,2.5939070419556763e-12
1.9.36,JSC,[] (symbol (quote foo)),7.196191450658178e-09,1.5826452365031612e-10,3.789677427472191e-11,0.5266226521982791,1.9335088915674446e-11
1.9.36,JSC,[coll (seq arr)] (ci-reduce coll + 0),7.514447924051115e-05,2.1282456025884463e-06,5.173937017771076e-07,0.6885318881791855,2.6397637845770797e-07
1.9.36,JSC,[coll (seq arr)] (ci-reduce coll sum 0),9.272540983606564e-05,1.7616219259995436e-06,4.5337209065492937e-07,0.48894050881680745,2.3131229115047418e-07
1.9.36,JSC,[coll arr] (array-reduce coll + 0),1.1447662068780073e-05,2.957446269126807e-07,7.135114826858439e-08,0.6232813987685082,3.640364707580836e-08
1.9.36,JSC,[coll arr] (array-reduce coll sum 0),3.42987339523547e-05,7.490329142046833e-07,1.807111732760162e-07,0.5268741800413013,9.219957820204908e-08
1.9.35,V8,[x 1] (identity x),1.0282512409749677e-08,4.853266631952648e-10,1.1890503248283988e-10,1.1563811230618741,6.06658328994081e-11
1.9.35,V8,[] (symbol (quote foo)),2.6832363328427058e-08,9.36707076224552e-10,2.2949323367501526e-10,0.8552852049073248,1.17088384528069e-10
1.9.35,V8,[coll (seq arr)] (ci-reduce coll + 0),0.00011689637570188872,2.4814440847379303e-06,5.986715182575855e-07,0.512138648151358,3.054446521722375e-07
1.9.35,V8,[coll (seq arr)] (ci-reduce coll sum 0),0.00018495505023796938,4.122800826703644e-06,1.5120538046350969e-06,0.8175250163159306,7.404768876763453e-07
1.9.35,V8,[coll arr] (array-reduce coll + 0),1.4363440439212251e-05,3.7264387220281563e-07,9.059273621854346e-08,0.630717526221816,4.6220783784971155e-08
1.9.35,V8,[coll arr] (array-reduce coll sum 0),8.642418032786883e-05,2.2386131693050698e-06,5.664472861901838e-07,0.6554268539675394,2.890037174439713e-07
1.9.35,SM,[x 1] (identity x),8.756145082430655e-10,2.2502062612623078e-11,5.556587088173801e-12,0.6345928528894732,2.834993412333572e-12
1.9.35,SM,[] (symbol (quote foo)),1.31258527815256e-09,2.3981246297600044e-10,6.171828137461848e-11,4.702039738056932,3.14889190686829e-11
1.9.35,SM,[coll (seq arr)] (ci-reduce coll + 0),4.3206242888837e-05,4.396627680234015e-06,1.1414012223898041e-06,2.6417506963668504,5.823475624437776e-07
1.9.35,SM,[coll (seq arr)] (ci-reduce coll sum 0),0.0001042872066859531,2.257018651254456e-06,6.194498202597494e-07,0.5939844780051874,3.1604582666313746e-07
1.9.35,SM,[coll arr] (array-reduce coll + 0),1.1718622870028125e-05,2.8772979330526325e-07,6.994943755021123e-08,0.5969083426100847,3.5688488546026136e-08
1.9.35,SM,[coll arr] (array-reduce coll sum 0),8.755122950819674e-05,2.035458713088802e-06,5.150421162487997e-07,0.5882751380442696,2.62776589922857e-07
1.9.35,JSC,[x 1] (identity x),8.938713043701558e-10,4.007792557556091e-11,9.669173164330867e-12,1.081718712420689,4.933251614454524e-12
1.9.35,JSC,[] (symbol (quote foo)),7.376781467294587e-09,2.92261618669556e-10,7.051084006021491e-11,0.9558482974292928,3.597491839806883e-11
1.9.35,JSC,[coll (seq arr)] (ci-reduce coll + 0),7.795855589835683e-05,3.1945377517070967e-06,7.826617491682386e-07,1.0039459301794675,3.993172189633871e-07
1.9.35,JSC,[coll (seq arr)] (ci-reduce coll sum 0),9.53417740046839e-05,3.2718098183627325e-06,8.569393962497498e-07,0.8988078994708558,4.3721397767844375e-07
1.9.35,JSC,[coll arr] (array-reduce coll + 0),1.170948945236256e-05,4.1060249263462194e-07,9.98207835433814e-08,0.8524776759010709,5.092897119560276e-08
1.9.35,JSC,[coll arr] (array-reduce coll sum 0),4.508762224538743e-05,4.007626330666292e-06,1.0591609194081985e-06,2.349116823335152,5.403882241878563e-07
1.9.14,V8,[x 1] (identity x),1.0378779706178668e-08,6.734149904507126e-10,1.66290935428382e-10,1.6022204935074027,8.484231399407246e-11
1.9.14,V8,[] (symbol (quote foo)),2.6982310943638808e-08,2.5301039078216e-09,6.150887027119517e-10,2.279599786677877,3.1382076668977133e-10
1.9.14,V8,[coll (seq arr)] (ci-reduce coll + 0),0.0001172457153502235,2.9972799336075437e-06,7.521742471297915e-07,0.6415366607495886,3.837623709845875e-07
1.9.14,V8,[coll (seq arr)] (ci-reduce coll sum 0),0.00018258707272385488,6.864373583980051e-06,1.6817715280751125e-06,0.9210791886776277,8.580466979975064e-07
1.9.14,V8,[coll arr] (array-reduce coll + 0),1.4372415572167792e-05,4.0018807791628006e-07,9.804607908948862e-08,0.6821823276482141,5.002350973953501e-08
1.9.14,V8,[coll arr] (array-reduce coll sum 0),8.574643912926632e-05,1.7301217858890762e-06,4.341780149235677e-07,0.5063510733886294,2.215193953691672e-07
1.9.14,SM,[x 1] (identity x),8.830006337257238e-10,2.489581999343721e-11,6.147693849515358e-12,0.6962275693479224,3.1365784946506927e-12
1.9.14,SM,[] (symbol (quote foo)),1.3149439728066827e-09,2.5682657551788747e-10,6.667432144781958e-11,5.070506639572373,3.401751094276509e-11
1.9.14,SM,[coll (seq arr)] (ci-reduce coll + 0),4.298489262245107e-05,4.80640950605794e-06,1.2369804747229173e-06,2.877709816766741,6.311124871035292e-07
1.9.14,SM,[coll (seq arr)] (ci-reduce coll sum 0),0.00010468900675024109,2.465036026424091e-06,6.765412074257866e-07,0.6462390163274986,3.451740854213197e-07
1.9.14,SM,[coll arr] (array-reduce coll + 0),1.1684980065794596e-05,2.5217937100657146e-07,6.178394589661e-08,0.5287466948914182,3.152242137582143e-08
1.9.14,SM,[coll arr] (array-reduce coll sum 0),8.792092934469614e-05,2.508465441900534e-06,6.194324016223985e-07,0.7045335009982648,3.1603693960326457e-07
1.9.14,JSC,[x 1] (identity x),8.70690443558724e-10,1.803763667488376e-11,4.319150178140065e-12,0.49606036336940207,2.2036480500714618e-12
1.9.14,JSC,[] (symbol (quote foo)),7.175928431852019e-09,1.7643821652530605e-10,4.289355602189488e-11,0.5977422493722472,2.1884467358109632e-11
1.9.14,JSC,[coll (seq arr)] (ci-reduce coll + 0),7.440887093258146e-05,1.5823568182862092e-06,3.788986803963369e-07,0.5092117050662414,1.933156532634372e-07
1.9.14,JSC,[coll (seq arr)] (ci-reduce coll sum 0),9.483566088501533e-05,1.992466179106184e-06,4.807010401156658e-07,0.5068779356095781,2.452556327120744e-07
1.9.14,JSC,[coll arr] (array-reduce coll + 0),1.1421560902626845e-05,2.8621599482508146e-07,6.853502414518796e-08,0.6000495442739845,3.496684905366733e-08
1.9.14,JSC,[coll arr] (array-reduce coll sum 0),3.43257824927605e-05,9.185384504629637e-07,2.1994597094140523e-07,0.6407602535726405,1.1221733211296185e-07
1.8.51,V8,[x 1] (identity x),1.0183376503271632e-08,4.1281607958430404e-10,1.0113993949815449e-10,0.9931866848452582,5.1602009948038005e-11
1.8.51,V8,[] (symbol (quote foo)),2.7108694128677304e-08,2.4322068878853155e-09,6.006013591576041e-10,2.2155303988702637,3.064292648763286e-10
1.8.51,V8,[coll (seq arr)] (ci-reduce coll + 0),0.00011688966275659815,2.5770115701213924e-06,6.414703615052992e-07,0.5487827977064547,3.2728079668637714e-07
1.8.51,V8,[coll (seq arr)] (ci-reduce coll sum 0),0.00018329117636276977,4.716644942808215e-06,1.1647131571843603e-06,0.6354442042966437,5.942414067267145e-07
1.8.51,V8,[coll arr] (array-reduce coll + 0),1.4249174190378764e-05,3.0533094646480397e-07,7.366393722726774e-08,0.5169698695732601,3.758364144248354e-08
1.8.51,V8,[coll arr] (array-reduce coll sum 0),8.579682880945985e-05,2.3055300408030418e-06,5.785780311113283e-07,0.6743582940533286,2.951928730159838e-07
1.8.51,SM,[x 1] (identity x),8.78888147919288e-10,2.4069636482078794e-11,5.897060938109305e-12,0.6709683083188939,3.008704560259849e-12
1.8.51,SM,[] (symbol (quote foo)),1.3053292837919028e-09,2.4627278476617296e-10,6.338091372102972e-11,4.855549822410479,3.233720087807639e-11
