Version,Engine,Section,Name,Mean,Deviation,MOE,RME,SEM
1.9.36,V8,identity,[x 1] (identity x),9.18e-06,,,,
1.9.36,V8,symbol construction,[] (symbol (quote foo)),2.2e-05,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll + 0),0.26,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll sum 0),0.21,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll arr] (array-reduce coll + 0),0.11,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll arr] (array-reduce coll sum 0),0.09,,,,
1.9.36,V8,instance?,[coll []] (instance? PersistentVector coll),0.000528,,,,
1.9.36,V8,satisfies?,[coll (list 1 2 3)] (satisfies? ISeq coll),0.000505,,,,
1.9.36,V8,satisfies?,[coll [1 2 3]] (satisfies? ISeq coll),0.000508,,,,
1.9.36,V8,array & string ops,[coll (array 1 2 3)] (seq coll),2.7e-05,,,,
1.9.36,V8,array & string ops,"[coll ""foobar""] (seq coll)",0.000101,,,,
1.9.36,V8,array & string ops,[coll (array 1 2 3)] (first coll),4.1e-05,,,,
1.9.36,V8,array & string ops,"[coll ""foobar""] (first coll)",0.000116,,,,
1.9.36,V8,array & string ops,[coll (array 1 2 3)] (nth coll 2),4.1e-05,,,,
1.9.36,V8,array & string ops,"[coll ""foobar""] (nth coll 2)",2.6e-05,,,,
1.9.36,V8,cloning & specify,[coll [1 2 3]] (clone coll),3e-05,,,,
1.9.36,V8,cloning & specify,[coll [1 2 3]] (specify coll IFoo (foo [_] :bar)),0.000568,,,,
1.9.36,V8,cloning & specify,[coll (specify [1 2 3] IFoo (foo [_] :bar))] (foo coll),2.2e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (first coll),2e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (-first coll),1.6e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (rest coll),1.4e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (-rest coll),1.7e-05,,,,
1.9.36,V8,list ops,[] (list),4e-06,,,,
1.9.36,V8,list ops,[] (list 1 2 3),0.000557,,,,
1.9.36,V8,vector ops,[] [],4e-06,,,,
1.9.36,V8,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count [a b c]),0.000563,,,,
1.9.36,V8,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vec (array a b c))),0.000563,,,,
1.9.36,V8,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vector a b c)),0.000561,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (transient coll),0.00022,,,,
