Version,Engine,Section,Name,Mean,Deviation,MOE,RME,SEM
1.9.36,V8,identity,[x 1] (identity x),9.11e-06,,,,
1.9.36,V8,symbol construction,[] (symbol (quote foo)),2.2e-05,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll + 0),0.23,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll sum 0),0.2,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll arr] (array-reduce coll + 0),0.11,,,,
1.9.36,V8,array-reduce & ci-reduce,[coll arr] (array-reduce coll sum 0),0.08,,,,
1.9.36,V8,instance?,[coll []] (instance? PersistentVector coll),0.000527,,,,
1.9.36,V8,satisfies?,[coll (list 1 2 3)] (satisfies? ISeq coll),0.00051,,,,
1.9.36,V8,satisfies?,[coll [1 2 3]] (satisfies? ISeq coll),0.000511,,,,
1.9.36,V8,array & string ops,[coll (array 1 2 3)] (seq coll),2.7e-05,,,,
1.9.36,V8,array & string ops,"[coll ""foobar""] (seq coll)",0.0001,,,,
1.9.36,V8,array & string ops,[coll (array 1 2 3)] (first coll),4.5e-05,,,,
1.9.36,V8,array & string ops,"[coll ""foobar""] (first coll)",0.000117,,,,
1.9.36,V8,array & string ops,[coll (array 1 2 3)] (nth coll 2),3.7e-05,,,,
1.9.36,V8,array & string ops,"[coll ""foobar""] (nth coll 2)",2.6e-05,,,,
1.9.36,V8,cloning & specify,[coll [1 2 3]] (clone coll),2.5e-05,,,,
1.9.36,V8,cloning & specify,[coll [1 2 3]] (specify coll IFoo (foo [_] :bar)),0.000573,,,,
1.9.36,V8,cloning & specify,[coll (specify [1 2 3] IFoo (foo [_] :bar))] (foo coll),2.6e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (first coll),1.9e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (-first coll),1.7e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (rest coll),1.4e-05,,,,
1.9.36,V8,list ops,[coll (list 1 2 3)] (-rest coll),1.3e-05,,,,
1.9.36,V8,list ops,[] (list),4e-06,,,,
1.9.36,V8,list ops,[] (list 1 2 3),0.000557,,,,
1.9.36,V8,vector ops,[] [],4e-06,,,,
1.9.36,V8,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count [a b c]),0.000578,,,,
1.9.36,V8,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vec (array a b c))),0.000599,,,,
1.9.36,V8,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vector a b c)),0.000566,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (transient coll),0.00022,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (nth coll 0),2.1e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (-nth coll 0),1.9e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (-nth coll 0),1.8e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (coll 0),0.000511,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (conj coll 4),4.9e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (-conj coll 4),4.6e-05,,,,
1.9.36,V8,vector ops,[coll []] (-conj coll 1),4e-05,,,,
1.9.36,V8,vector ops,[coll [1]] (-conj coll 2),4e-05,,,,
1.9.36,V8,vector ops,[coll [1 2]] (-conj coll 3),4.1e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (seq coll),3.9e-05,,,,
1.9.36,V8,vector ops,[coll [1 2 3]] (-seq coll),2.3e-05,,,,
1.9.36,V8,vector ops,[coll (seq [1 2 3])] (first coll),3.6e-05,,,,
1.9.36,V8,vector ops,[coll (seq [1 2 3])] (-first coll),1.7e-05,,,,
1.9.36,V8,vector ops,[coll (seq [1 2 3])] (rest coll),2.2e-05,,,,
1.9.36,V8,vector ops,[coll (seq [1 2 3])] (-rest coll),2.1e-05,,,,
1.9.36,V8,vector ops,[coll (seq [1 2 3])] (next coll),2.5e-05,,,,
1.9.36,V8,large vector ops,[] (reduce conj [] (range 40000)),6.8,,,,
1.9.36,V8,large vector ops,[coll (reduce conj [] (range (+ 32768 32)))] (conj coll :foo),0.00029,,,,
1.9.36,V8,large vector ops,[coll (reduce conj [] (range 40000))] (assoc coll 123 :foo),0.0007,,,,
1.9.36,V8,large vector ops,[coll (reduce conj [] (range (+ 32768 33)))] (pop coll),0.00023,,,,
1.9.36,V8,chunked seqs,[] (-first v),1.6e-05,,,,
1.9.36,V8,chunked seqs,[] (-next v),3e-05,,,,
1.9.36,V8,chunked seqs,[] (-rest v),3e-05,,,,
1.9.36,V8,"transient vector, conj! 1000000 items",[v (transient [])] (loop [i 0 v v] (if (> i 1000000) (persistent! v) (recur (inc i) (conj! v i)))),554.0,,,,
1.9.36,V8,vector equality,[a (into [] (range 1000000)) b (into [] (range 1000000))] (= a b),34.0,,,,
1.9.36,V8,keyword compare,[arr (into-array (repeatedly 10000 (fn* [] (keyword (rand-nth seed)))))] (.sort arr compare),3.17,,,,
1.9.36,V8,keyword compare,[arr (into-array (repeatedly 10000 (fn* [] (keyword (rand-nth seed) (rand-nth seed)))))] (.sort arr compare),8.7,,,,
1.9.36,V8,"reduce lazy-seqs, vectors, ranges",[coll (take 100000 (iterate inc 0))] (reduce + 0 coll),79.0,,,,
1.9.36,V8,"reduce lazy-seqs, vectors, ranges",[coll (range 1000000)] (reduce + 0 coll),16.0,,,,
1.9.36,V8,"reduce lazy-seqs, vectors, ranges",[coll (into [] (range 1000000))] (reduce + 0 coll),21.0,,,,
1.9.36,V8,apply,[coll (into [] (range 1000000))] (apply + coll),64.0,,,,
1.9.36,V8,apply,[] (list 1 2 3 4 5),0.000127,,,,
1.9.36,V8,apply,[xs (array-seq (array 1 2 3 4 5))] (apply list xs),0.000139,,,,
1.9.36,V8,apply,[xs (list 1 2 3 4 5)] (apply list xs),0.000429,,,,
1.9.36,V8,apply,[xs [1 2 3 4 5]] (apply list xs),0.000142,,,,
1.9.36,V8,apply,[f (fn [a b & more])] (apply f (range 32)),0.00025,,,,
1.9.36,V8,apply,[f (fn [a b c d e f g h i j & more])] (apply f (range 32)),0.000811,,,,
1.9.36,V8,update-in,[coll {:foo 1} ks [:foo]] (update-in coll ks inc),0.000329,,,,
